Res_ID inflow
R01 147.872158
R02 41.261678
R03 31.67042
R04 30.595803
R05 29.181706
R06 27.561861
R07 20.329347
R08 16.567912
R09 20.904771
R10 18.933583
R11 15.075705
R12 11.168324
R13 6.741498
R14 9.917594
R15 9.307222
R16 7.106622
R17 5.977847
R18 7.265067
R19 5.599203
R20 4.253324
R21 3.226599
R22 2.578153
R23 2.691355
R24 2.11853
R25 2.220571
R26 1.315824
R27 1.077508
R28 45.330624
R29 25.85016
R30 12.988742
R31 6.675465
R32 5.887278
R33 4.116117
R34 2.776967
R35 2.235126
R36 1.760233
R37 2.465122
R38 1.76317
R39 1.51433
R40 1.385446
R41 1.878024
R42 1.333122
R43 1.098464
R44 0.952347
R45 1.191616
R46 0.915926
R47 0.891583
R48 0.872054
R49 0.835009
R50 0.630595
R51 0.871653
R52 0.756366
R53 0.551436
R54 0.582161
R55 0.56808
