Res_ID inflow
R01 122.481885
R02 64.069631
R03 30.263322
R04 32.253551
R05 30.381119
R06 32.606957
R07 24.145558
R08 24.310304
R09 29.007653
R10 18.275729
R11 18.710592
R12 15.30093
R13 10.327632
R14 11.416195
R15 11.303828
R16 9.962742
R17 8.977139
R18 8.170787
R19 6.321738
R20 4.619039
R21 4.921817
R22 3.191386
R23 3.069758
R24 3.010631
R25 2.296783
R26 1.549021
R27 1.991542
R28 43.734992
R29 27.049879
R30 15.898874
R31 7.721655
R32 6.483619
R33 4.851246
R34 2.781869
R35 2.78569
R36 3.610268
R37 3.203341
R38 2.082958
R39 2.403256
R40 1.659933
R41 1.593176
R42 1.171389
R43 1.29589
R44 1.0385
R45 1.604386
R46 1.242335
R47 0.995171
R48 1.238574
R49 1.11885
R50 1.205491
R51 0.94155
R52 0.751149
R53 0.709855
R54 0.726965
R55 0.683879
