Res_ID	min_stor	max_stor	init_stor	tr_1	tr_2	tr_3	tr_4	tr_5	tr_6	tr_7	tr_8	tr_9	tr_10	tr_11	tr_12
R01	1802.8	3320	2561.4	151.72	151.72	75.86	75.86	121.376	121.376	45.516	45.516	227.58	227.58	151.72	121.376
R02	5.06	670.65	337.855	66.559	66.559	33.2795	33.2795	53.2472	53.2472	19.9677	19.9677	99.8385	99.8385	66.559	53.2472
R03	12.23	375.36	193.795	36.313	36.313	18.1565	18.1565	29.0504	29.0504	10.8939	10.8939	54.4695	54.4695	36.313	29.0504
R04	28.31	382.06	205.185	35.375	35.375	17.6875	17.6875	28.3	28.3	10.6125	10.6125	53.0625	53.0625	35.375	28.3
R05	5.26	337.39	171.325	33.213	33.213	16.6065	16.6065	26.5704	26.5704	9.9639	9.9639	49.8195	49.8195	33.213	26.5704
R06	8.99	310.6	159.795	30.161	30.161	15.0805	15.0805	24.1288	24.1288	9.0483	9.0483	45.2415	45.2415	30.161	24.1288
R07	19.81	307.91	163.86	28.81	28.81	14.405	14.405	23.048	23.048	8.643	8.643	43.215	43.215	28.81	23.048
R08	31	305	168	27.4	27.4	13.7	13.7	21.92	21.92	8.22	8.22	41.1	41.1	27.4	21.92
R09	21.11	287.5	154.305	26.639	26.639	13.3195	13.3195	21.3112	21.3112	7.9917	7.9917	39.9585	39.9585	26.639	21.3112
R10	13.37	230.47	121.92	21.71	21.71	10.855	10.855	17.368	17.368	6.513	6.513	32.565	32.565	21.71	17.368
R11	28.31	241.69	135	21.338	21.338	10.669	10.669	17.0704	17.0704	6.4014	6.4014	32.007	32.007	21.338	17.0704
R12	61.5	216.3	138.9	15.48	15.48	7.74	7.74	12.384	12.384	4.644	4.644	23.22	23.22	15.48	12.384
R13	125.21	235.53	180.37	11.032	11.032	5.516	5.516	8.8256	8.8256	3.3096	3.3096	16.548	16.548	11.032	8.8256
R14	2.89	107.9	55.395	10.501	10.501	5.2505	5.2505	8.4008	8.4008	3.1503	3.1503	15.7515	15.7515	10.501	8.4008
R15	0.21	104.69	52.45	10.448	10.448	5.224	5.224	8.3584	8.3584	3.1344	3.1344	15.672	15.672	10.448	8.3584
R16	61.15	150.49	105.82	8.934	8.934	4.467	4.467	7.1472	7.1472	2.6802	2.6802	13.401	13.401	8.934	7.1472
R17	0.56	82.75	41.655	8.219	8.219	4.1095	4.1095	6.5752	6.5752	2.4657	2.4657	12.3285	12.3285	8.219	6.5752
R18	14.15	93.43	53.79	7.928	7.928	3.964	3.964	6.3424	6.3424	2.3784	2.3784	11.892	11.892	7.928	6.3424
R19	30	86	58	5.6	5.6	2.8	2.8	4.48	4.48	1.68	1.68	8.4	8.4	5.6	4.48
R20	15.65	67.95	41.8	5.23	5.23	2.615	2.615	4.184	4.184	1.569	1.569	7.845	7.845	5.23	4.184
R21	0.2	42.87	21.535	4.267	4.267	2.1335	2.1335	3.4136	3.4136	1.2801	1.2801	6.4005	6.4005	4.267	3.4136
R22	2.83	35.94	19.385	3.311	3.311	1.6555	1.6555	2.6488	2.6488	0.9933	0.9933	4.9665	4.9665	3.311	2.6488
R23	10.48	40.87	25.675	3.039	3.039	1.5195	1.5195	2.4312	2.4312	0.9117	0.9117	4.5585	4.5585	3.039	2.4312
R24	2.56	27.17	14.865	2.461	2.461	1.2305	1.2305	1.9688	1.9688	0.7383	0.7383	3.6915	3.6915	2.461	1.9688
